count_objects,id,name,url
4,35270129,obelisk,https://collection.cooperhewitt.org/types/35270129/
75,35256421,Napkin,https://collection.cooperhewitt.org/types/35256421/
4144,35256475,Sidewall,https://collection.cooperhewitt.org/types/35256475/
133,35256423,Leather,https://collection.cooperhewitt.org/types/35256423/
16,35256485,vinaigrette,https://collection.cooperhewitt.org/types/35256485/
917,35256439,Sampler,https://collection.cooperhewitt.org/types/35256439/
13,35256487,Sleeve,https://collection.cooperhewitt.org/types/35256487/
3,35256467,Bed curtain,https://collection.cooperhewitt.org/types/35256467/
1,35296787,miniature tray,https://collection.cooperhewitt.org/types/35296787/
2,35267269,kettle,https://collection.cooperhewitt.org/types/35267269/
1,35267241,Jug and liner,https://collection.cooperhewitt.org/types/35267241/
13,35267243,Cream jug,https://collection.cooperhewitt.org/types/35267243/
2,35267245,Tea urn and cover,https://collection.cooperhewitt.org/types/35267245/
1,35267259,porringer,https://collection.cooperhewitt.org/types/35267259/
1,35267215,Ribbon ornament,https://collection.cooperhewitt.org/types/35267215/
15,35262127,doll,https://collection.cooperhewitt.org/types/35262127/
1,35262169,architectural decorative,http://collection.cooperhewitt.org/types/35262169/
3,35262163,plaquet,https://collection.cooperhewitt.org/types/35262163/
1,35262103,Chair crestrail,https://collection.cooperhewitt.org/types/35262103/
5,35262151,hinge,https://collection.cooperhewitt.org/types/35262151/
2,35262159,"one cent,current money",https://collection.cooperhewitt.org/types/35262159/
6,35262197,"Fragment, swag",https://collection.cooperhewitt.org/types/35262197/
2,35262147,axhead,https://collection.cooperhewitt.org/types/35262147/
2,35267595,Purse frame,https://collection.cooperhewitt.org/types/35267595/
1,35267585,furniture scroll,https://collection.cooperhewitt.org/types/35267585/
1,35267543,Cuff stud,https://collection.cooperhewitt.org/types/35267543/
1,35267591,Anklet and pin,https://collection.cooperhewitt.org/types/35267591/
6,35267555,door knocker,https://collection.cooperhewitt.org/types/35267555/
3,35267547,window,https://collection.cooperhewitt.org/types/35267547/
5,35255401,cut work,https://collection.cooperhewitt.org/types/35255401/
1,35255451,lace study cards c.u.,http://collection.cooperhewitt.org/types/35255451/
30,35255445,Needle lace,https://collection.cooperhewitt.org/types/35255445/
1,35258495,Fragment of garment  with medallion and band,https://collection.cooperhewitt.org/types/35258495/
20,35258431,Roundel,https://collection.cooperhewitt.org/types/35258431/
1,35258451,Fragment of carpet ?,https://collection.cooperhewitt.org/types/35258451/
2,35258411,Fragment of a border,https://collection.cooperhewitt.org/types/35258411/
5,35253273,table centerpiece,https://collection.cooperhewitt.org/types/35253273/
6,35253601,paperweight,https://collection.cooperhewitt.org/types/35253601/
214,35247569,envelope,https://collection.cooperhewitt.org/types/35247569/
76,35247579,advertisement,https://collection.cooperhewitt.org/types/35247579/
78,35247551,rubbing,https://collection.cooperhewitt.org/types/35247551/
3,35247581,mailing label,https://collection.cooperhewitt.org/types/35247581/
61,35247593,postcard,https://collection.cooperhewitt.org/types/35247593/
42,35247567,magazine,https://collection.cooperhewitt.org/types/35247567/
45,35247571,booklet,https://collection.cooperhewitt.org/types/35247571/
3,35247565,tobacco box,https://collection.cooperhewitt.org/types/35247565/
13,35269589,pen,https://collection.cooperhewitt.org/types/35269589/
98,35269513,Miser's purse,https://collection.cooperhewitt.org/types/35269513/
23,35269535,station,https://collection.cooperhewitt.org/types/35269535/
6,35269531,Pencil holder,https://collection.cooperhewitt.org/types/35269531/
14,35269505,Baby's cap,https://collection.cooperhewitt.org/types/35269505/
11,35269509,Pocket,https://collection.cooperhewitt.org/types/35269509/
3,35259563,Leather - fragment,https://collection.cooperhewitt.org/types/35259563/
40,35259575,Hair ornament,https://collection.cooperhewitt.org/types/35259575/
10,35259585,baluster,https://collection.cooperhewitt.org/types/35259585/
20,35259539,Inkwell,https://collection.cooperhewitt.org/types/35259539/
8,35259505,Furniture mounts,https://collection.cooperhewitt.org/types/35259505/
7,35259551,Waistcoat fronts,https://collection.cooperhewitt.org/types/35259551/
84,35259557,Bracket,https://collection.cooperhewitt.org/types/35259557/
1,35259545,"ornament, term",https://collection.cooperhewitt.org/types/35259545/
5,35259591,Statue,https://collection.cooperhewitt.org/types/35259591/
1,35292927,Canting,https://collection.cooperhewitt.org/types/35292927/
2,35292921,Sidewall or ceiling paper,https://collection.cooperhewitt.org/types/35292921/
1,35292995,bucket,https://collection.cooperhewitt.org/types/35292995/
1,35292941,Peacock vase,http://collection.cooperhewitt.org/types/35292941/
1,35292989,Sculpture model,https://collection.cooperhewitt.org/types/35292989/
1,35292983,Sample book pages,https://collection.cooperhewitt.org/types/35292983/
2,35292953,Fragments [2],http://collection.cooperhewitt.org/types/35292953/
1,35292975,portfolio of designs,https://collection.cooperhewitt.org/types/35292975/
1,35292923,design for playing cards,http://collection.cooperhewitt.org/types/35292923/
4,35292903,Doll dress,https://collection.cooperhewitt.org/types/35292903/
1,35292913,Antimacassar,https://collection.cooperhewitt.org/types/35292913/
1,35292929,Batik process samples,https://collection.cooperhewitt.org/types/35292929/
72,35292979,Cigar label,https://collection.cooperhewitt.org/types/35292979/
1,35292985,Table cloth,https://collection.cooperhewitt.org/types/35292985/
1,35292907,"patchwork:cutwork,filet,bobbin",https://collection.cooperhewitt.org/types/35292907/
1,35292935,toy theaters,https://collection.cooperhewitt.org/types/35292935/
1,35292937,bluperint,https://collection.cooperhewitt.org/types/35292937/
1,35292931,Photo album,https://collection.cooperhewitt.org/types/35292931/
7,35292939,Archives,https://collection.cooperhewitt.org/types/35292939/
1,35292925,Batik process,https://collection.cooperhewitt.org/types/35292925/
1,35292917,Lace border,https://collection.cooperhewitt.org/types/35292917/
1,35292905,Sash ends,https://collection.cooperhewitt.org/types/35292905/
1,35292911,Altar cloth,https://collection.cooperhewitt.org/types/35292911/
1,35292999,chain hook,https://collection.cooperhewitt.org/types/35292999/
1,35292981,album of silhouettes,https://collection.cooperhewitt.org/types/35292981/
5,35292993,stained glass panel,https://collection.cooperhewitt.org/types/35292993/
2,35292957,pendant/brooch,https://collection.cooperhewitt.org/types/35292957/
5,35292943,Footed Bowl,https://collection.cooperhewitt.org/types/35292943/
1,35292959,earring?,https://collection.cooperhewitt.org/types/35292959/
3,35292967,Casserole and cover,https://collection.cooperhewitt.org/types/35292967/
1,35292909,"patchwork: filet,bobbin,needle",https://collection.cooperhewitt.org/types/35292909/
1,35292971,Eschutcheon,https://collection.cooperhewitt.org/types/35292971/
5,35292991,Bottle and cap,https://collection.cooperhewitt.org/types/35292991/
2,35292997,Wall fountain and cover,https://collection.cooperhewitt.org/types/35292997/
6,35292965,Place setting,https://collection.cooperhewitt.org/types/35292965/
2,35292955,"ornament, mask",https://collection.cooperhewitt.org/types/35292955/
2,35292973,Pair of finger plates,https://collection.cooperhewitt.org/types/35292973/
1,35292947,Patchwork fragment,https://collection.cooperhewitt.org/types/35292947/
54,35282877,Bedcover,https://collection.cooperhewitt.org/types/35282877/
25,35282885,Doily,https://collection.cooperhewitt.org/types/35282885/
3,35282899,Woman's cap,https://collection.cooperhewitt.org/types/35282899/
9,35250229,watercolor,https://collection.cooperhewitt.org/types/35250229/
2,35273143,Prints,https://collection.cooperhewitt.org/types/35273143/
2,35285215,place cards,http://collection.cooperhewitt.org/types/35285215/
1,35287927,Lace panel,https://collection.cooperhewitt.org/types/35287927/
1,35287921,Pot shard,https://collection.cooperhewitt.org/types/35287921/
2,35287949,Pricked pattern for lace,https://collection.cooperhewitt.org/types/35287949/
1,35287969,Puzzle picture,https://collection.cooperhewitt.org/types/35287969/
2,35287941,Tile fragment,https://collection.cooperhewitt.org/types/35287941/
9,35287953,Commemorative ribbon,https://collection.cooperhewitt.org/types/35287953/
2,35287923,Ceiling tile,https://collection.cooperhewitt.org/types/35287923/
1,35287903,Bobbin lace: discontinuous,https://collection.cooperhewitt.org/types/35287903/
18,35287913,Weaver's thesis book,https://collection.cooperhewitt.org/types/35287913/
4,35287979,Curtain panels,https://collection.cooperhewitt.org/types/35287979/
1,35287985,Bobbin lace continuous tape,https://collection.cooperhewitt.org/types/35287985/
3,35287907,accessories,https://collection.cooperhewitt.org/types/35287907/
7,35287935,Printing roller,https://collection.cooperhewitt.org/types/35287935/
5,35287901,Rug sample,https://collection.cooperhewitt.org/types/35287901/
1,35287939,Embroidered tiraz,https://collection.cooperhewitt.org/types/35287939/
2,35287925,Curtain bracket,https://collection.cooperhewitt.org/types/35287925/
20,35287905,wing,https://collection.cooperhewitt.org/types/35287905/
328,35287951,Ceiling paper,https://collection.cooperhewitt.org/types/35287951/
1,35287933,Section of a sarong,https://collection.cooperhewitt.org/types/35287933/
3,35287987,Decoration,https://collection.cooperhewitt.org/types/35287987/
2,35287981,flag,https://collection.cooperhewitt.org/types/35287981/
1,35287957,braided: tie,https://collection.cooperhewitt.org/types/35287957/
1,35287943,Fragment from Paracas mantle,https://collection.cooperhewitt.org/types/35287943/
1,35287945,Fragment of Paracas mantle,https://collection.cooperhewitt.org/types/35287945/
1,35287919,Pot sherd,https://collection.cooperhewitt.org/types/35287919/
4,35287959,Textile fragments,https://collection.cooperhewitt.org/types/35287959/
4,35287971,woven silk,https://collection.cooperhewitt.org/types/35287971/
6,35287915,arrowhead,https://collection.cooperhewitt.org/types/35287915/
1,35287955,woven band,https://collection.cooperhewitt.org/types/35287955/
1,35287973,woven samples,https://collection.cooperhewitt.org/types/35287973/
1,35299839,Covered vessel,https://collection.cooperhewitt.org/types/35299839/
1,35299857,Covered Pitcher,https://collection.cooperhewitt.org/types/35299857/
668,35284327,Tile wall facing,https://collection.cooperhewitt.org/types/35284327/
2012,35284321,Wall facing,https://collection.cooperhewitt.org/types/35284321/
2,35284303,Bunch of grapes,https://collection.cooperhewitt.org/types/35284303/
2,35284307,dagger,https://collection.cooperhewitt.org/types/35284307/
1,35284339,Textile with bead embroidery,https://collection.cooperhewitt.org/types/35284339/
1,35284305,Candlestick and snuffer,https://collection.cooperhewitt.org/types/35284305/
1,35268621,Dresser,https://collection.cooperhewitt.org/types/35268621/
1,35268635,Shrine and figure,https://collection.cooperhewitt.org/types/35268635/
2,35268639,Modern reproduction,http://collection.cooperhewitt.org/types/35268639/
1,35268617,silk foundation,http://collection.cooperhewitt.org/types/35268617/
14,35268657,Reproduction textile,https://collection.cooperhewitt.org/types/35268657/
1,35290227,silk thread,https://collection.cooperhewitt.org/types/35290227/
5,35290221,Bed cover,https://collection.cooperhewitt.org/types/35290221/
1,35290295,Lock part,https://collection.cooperhewitt.org/types/35290295/
1,35290249,Cuff band,https://collection.cooperhewitt.org/types/35290249/
2,35290261,Pair of Tiles,https://collection.cooperhewitt.org/types/35290261/
1,35290241,Sidewall with frieze,https://collection.cooperhewitt.org/types/35290241/
2,35290277,Weaver's draft book,https://collection.cooperhewitt.org/types/35290277/
1,35290289,Prayer holder (box),https://collection.cooperhewitt.org/types/35290289/
1,35290263,Case for a miser's purse,http://collection.cooperhewitt.org/types/35290263/
3,35290283,Waste bowl,https://collection.cooperhewitt.org/types/35290283/
1,35290253,Wig bag,https://collection.cooperhewitt.org/types/35290253/
4,35290223,knitting,https://collection.cooperhewitt.org/types/35290223/
1,35290203,"nozzle, candelabrum",https://collection.cooperhewitt.org/types/35290203/
1,35290279,indian chintz,https://collection.cooperhewitt.org/types/35290279/
6,35290285,"Pitcher, cream",https://collection.cooperhewitt.org/types/35290285/
7,35290207,tazza,https://collection.cooperhewitt.org/types/35290207/
2,35290235,"Lamps w/ sconces, wall",https://collection.cooperhewitt.org/types/35290235/
1,35290201,"Table, sewing",https://collection.cooperhewitt.org/types/35290201/
3,35290231,"Lamp, oil",https://collection.cooperhewitt.org/types/35290231/
3,35290239,"peg, candlestand",https://collection.cooperhewitt.org/types/35290239/
